prolific_id,participant_id,trial_type,trial_index,image_shown,image_category,feed_duration_seconds,post_dwell_seconds,feed_source,like_state,share_state,image_index,scroll_to_bottom,political_affiliation,condition,consented,blame_prescriptive,praise_prescriptive,emotion_prescriptive,poli_prescriptive,blame_descriptive,praise_descriptive,emotion_descriptive,political_descriptive,blame_prescriptive_ownNetwork,praise_prescriptive_ownNetwork,emotion_prescriptive_ownNetwork,poli_prescriptive_ownNetwork,blame_descriptive_ownNetwork,praise_descriptive_ownNetwork,emotion_descriptive_ownNetwork,political_descriptive_ownNetwork,gender,age,language,education,employment,party,party_lean,political_ideology,political_follow,rep_id,dem_id,sm_use,sm_use_slider,sm_use_poli,sm_use_poli_slider,sm_post_poli,sm_post_poli_slider,share_why
TEST999,3,instructions,,,,,,,,,,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,html-button-response,1,,,,,,,,,,republican,algorithmic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,survey-html-form,2,,,,,,,,,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,
TEST999,3,call-function,3,,,,,,,,,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,instructions,4,,,,,,,,,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide20.png,neutral_political,,2.095,,true,,1,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide3.png,dem_ingroup_praise,,2.1197,,,true,2,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide62.png,dem_ingroup_praise,,0.2012,,,,3,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide55.png,rep_ingroup_praise,,0.1261,,,,4,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide8.png,dem_outgroup_blame,,0.142,,,,5,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide9.png,dem_outgroup_blame,,0.1515,,,,6,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide25.png,rep_ingroup_praise,,0.1252,,,,7,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide5.png,dem_ingroup_praise,,0.1243,,,,8,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide23.png,rep_ingroup_praise,,0.0755,,,,9,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide40.png,dem_outgroup_blame,,0.0835,,,,10,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide87.png,rep_outgroup_blame,,0.0922,,,,11,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide612.png,distractor,,0.917,,,,12,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide116.png,rep_outgroup_blame,,0.909,,true,,13,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
